aon,daily_decr30,daily_decr90,rental30,rental90,cnt_loans30,amnt_loans30,maxamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,payback30,payback90,Year,Month,Day
559.0,793.6186667,805.02,83.04,81.86,3,18,6.0,3.0,18,6,7.0,7.0,2016,2,7
137.0,-0.008666667,-0.008666667,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,13
931.0,10525.0,17640.36,8035.1,11702.4,3,18,6.0,4.0,24,6,8.5,8.666666667,2016,8,8
2200.0,7574.0,7620.8,-903.0,-1083.6,4,24,6.0,5.0,30,6,3.333333333,3.0,2016,5,7
1341.0,35.57866667,35.57866667,327.84,327.84,2,12,6.0,2.0,12,6,0.0,0.0,2016,8,6
509.0,127.0866667,127.0866667,2012.56,2012.56,3,18,6.0,3.0,18,6,1.0,1.0,2016,11,6
1170.0,6019.054,6048.83,2783.75,2893.19,4,24,6.0,6.0,36,6,4.333333333,3.8,2016,7,16
288.0,56.702,56.702,231.66,231.66,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,6
158.0,14337.818,14367.03,1445.87,1743.35,9,72,12.0,9.0,72,12,3.125,3.125,2016,12,7
158.0,7186.64,7203.8,1557.82,1996.83,3,18,6.0,4.0,24,6,8.666666667,8.666666667,2016,11,7
1880.0,196.8416667,196.8416667,5502.52,5502.52,3,18,6.0,3.0,18,6,11.0,11.0,2016,6,23
212.0,14083.0,17421.6,4604.43,4604.43,1,12,12.0,2.0,18,12,0.0,0.0,2016,8,8
1182.0,2468.88,2536.64,5672.62,5638.6,4,24,6.0,4.0,24,6,2.333333333,2.333333333,2016,7,23
938.0,2766.992,2777.48,48.0,120.0,1,6,6.0,2.0,12,6,0.0,16.0,2016,7,18
228.0,9330.0,11190.27,1368.37,1800.37,1,12,12.0,2.0,18,12,0.0,5.0,2016,11,8
165.0,19.2,19.2,2045.4,2045.4,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,15
104.0,900.0,900.0,30437.36,36808.62,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,17
339.0,506.5,507.5,26.0,30.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,4,7
242.0,4644.704,4657.13,2505.68,2796.56,3,18,6.0,3.0,18,6,2.5,2.5,2016,6,7
849.0,609.2,609.2,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,19
981.0,9696.285333,9790.57,1206.81,2326.83,6,36,6.0,9.0,54,6,3.0,3.444444444,2016,7,22
689.0,15.4,15.4,936.9,936.9,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
551.0,40.93466667,40.93466667,372.02,372.02,2,12,6.0,2.0,12,6,1.5,1.5,2016,6,22
762.0,4000.71,4047.9,4691.45,4861.1,4,24,6.0,5.0,30,6,5.4,5.333333333,2016,7,13
131.0,14.93333333,14.93333333,102.9,102.9,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,6
62.0,186.928,186.928,291.84,291.84,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,16
274.0,105.7943333,105.7943333,730.84,730.84,4,24,6.0,4.0,24,6,2.0,2.0,2016,11,6
468.0,7783.0,9142.77,12859.98,17151.8,2,12,6.0,5.0,30,6,3.5,3.6,2016,7,8
-46.0,9.304,9.304,334.02,334.02,1,6,6.0,1.0,6,6,0.0,0.0,2016,3,6
911.0,5707.744,5720.79,230.72,296.72,2,12,6.0,3.0,18,6,8.5,8.5,2016,7,22
1829.0,4808.791667,4815.55,3991.34,4021.34,3,18,6.0,3.0,18,6,2.0,2.0,2016,5,7
708.0,1820.881,1825.41,145.56,159.56,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,7
83.0,21.06,21.06,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,27
558.0,1802.1,1807.0,108.56,129.56,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,21
969.0,12481.0,16050.12,12782.61,16695.81,1,6,6.0,1.0,6,6,0.0,0.0,2016,5,8
610.0,1868.966667,1901.36,1130.54,1174.04,2,12,6.0,2.0,12,6,0.0,0.0,2016,5,7
186.0,384.8833333,395.5,1776.95,2287.46,5,30,6.0,6.0,36,6,6.0,8.166666667,2016,7,7
1621.0,12900.0,13846.0,13652.73,15442.93,1,6,6.0,2.0,12,6,10.5,21.0,2016,6,8
79.0,9.0,9.0,252.18,252.18,1,6,6.0,1.0,6,6,0.0,0.0,2016,3,6
1876.0,3580.0,4048.0,200.13,290.13,0,0,0.0,0.0,0,0,0.0,0.0,2016,5,8
1454.0,2346.297333,2379.86,851.08,1124.36,2,12,6.0,2.0,12,6,0.0,0.0,2016,8,7
378.0,514.6933333,515.2,56.26,58.2,2,12,6.0,2.0,12,6,0.0,0.0,2016,1,7
1147.0,64.972,64.972,1188.0,1188.0,5,30,6.0,5.0,30,6,1.75,1.75,2016,12,6
479.0,2585.466667,2588.0,1609.09,1709.73,4,24,6.0,4.0,24,6,24.75,24.75,2016,2,7
180.0,4503.285,4530.57,1342.8,1417.8,3,18,6.0,3.0,18,6,2.5,2.5,2016,7,15
138.0,148.8,148.8,677.28,677.28,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,24
856.0,5166.0,5169.37,4490.68,13148.38,1,6,6.0,2.0,12,6,24.0,24.0,2016,5,8
1300.0,8432.4,8463.0,15564.93,18984.48,3,18,6.0,4.0,24,6,9.25,13.8,2016,7,27
865.0,1524.15,1534.5,183.56,219.56,2,12,6.0,4.0,24,6,16.5,12.0,2016,9,7
1024.0,18.02,18.02,69.7,69.7,5,30,6.0,5.0,30,6,1.75,1.75,2016,5,6
1119.0,22790.5,36183.6,2077.53,4133.05,3,36,12.0,8.0,78,12,7.0,4.428571429,2016,8,8
538.0,37.77,37.77,1251.6,1251.6,4,24,6.0,4.0,24,6,6.0,6.0,2016,6,30
234.0,8500.166667,8557.5,4953.5,6221.5,6,36,6.0,7.0,42,6,3.0,3.571428571,2016,7,16
195.0,24305.362,24553.94,2992.21,3332.77,4,30,12.0,4.0,30,12,1.25,1.25,2016,11,7
1073.0,12.51166667,12.51166667,44.45,44.45,1,6,6.0,1.0,6,6,0.0,0.0,2016,5,6
85.0,2351.866,2373.23,947.63,1062.63,2,12,6.0,2.0,12,6,0.0,0.0,2016,4,7
1940.0,3103.966,3138.73,0.26,0.3,1,6,6.0,1.0,6,6,0.0,0.0,2016,4,7
658.0,30920.289,31392.67,3271.41,6725.02,6,54,12.0,19.0,132,12,2.2,1.947368421,2016,7,29
553.0,0.0,0.0,681.8,681.8,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,6
242.0,700.0,700.0,11273.44,17132.04,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,22
1606.0,56.303,56.303,234.0,234.0,3,18,6.0,3.0,18,6,2.0,2.0,2016,6,13
578.0,0.0,0.0,813.45,813.45,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,17
817.0,54.8,54.8,132.6,132.6,2,12,6.0,2.0,12,6,0.0,0.0,2016,12,6
-26.0,14.72,14.72,508.3,508.3,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,23
421.0,8067.733333,8144.0,863.57,1315.89,3,18,6.0,4.0,24,6,7.5,7.0,2016,7,22
142.0,64.41,64.41,3630.6,3630.6,3,18,6.0,3.0,18,6,4.5,4.5,2016,6,30
504.0,28596.0,28771.63,4166.18,4935.68,2,18,12.0,3.0,24,12,1.0,1.666666667,2016,8,13
934.0,2986.0,3057.99,196.12,225.22,2,12,6.0,4.0,24,6,13.0,13.25,2016,4,8
392.0,98.96,98.96,766.56,766.56,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,16
594.0,34.98333333,34.98333333,343.4,343.4,1,6,6.0,1.0,6,6,1.5,1.5,2016,10,6
2027.0,2442.36,2475.4,103.56,159.56,2,12,6.0,2.0,12,6,0.0,0.0,2016,7,28
522.0,6591.668,6644.64,828.97,1223.79,4,24,6.0,6.0,36,6,7.0,5.8,2016,7,19
461.0,80.28,80.28,924.75,924.75,8,48,6.0,8.0,48,6,3.25,3.25,2016,6,27
277.0,14600.0,18402.57,2342.81,4840.2,4,30,12.0,4.0,30,12,6.0,38.0,2016,12,8
322.0,-0.266666667,-0.266666667,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,8,6
337.0,132.7993333,132.7993333,1612.38,1612.38,4,24,6.0,4.0,24,6,2.666666667,2.666666667,2016,6,22
1267.0,11291.427,11357.37,2395.66,3157.43,2,18,12.0,2.0,18,12,0.0,0.0,2016,7,17
1376.0,9.363666667,9.363666667,918.89,918.89,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,6
1404.0,17236.0,20583.45,2664.71,7138.44,2,24,12.0,2.0,24,12,7.5,7.5,2016,8,16
397.0,14.64666667,14.64666667,2120.95,2120.95,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,13
278.0,6.85,6.85,-42.78,-42.78,1,6,6.0,1.0,6,6,0.0,0.0,2016,3,6
1270.0,7418.0,15415.51,600.39,28929.48,2,18,12.0,5.0,36,12,0.0,2.5,2016,12,8
1433.0,12106.598,12162.33,6622.11,8474.67,6,36,6.0,10.0,60,6,3.0,3.333333333,2016,12,7
846.0,4.68,4.68,17.46,17.46,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,18
98.0,10617.37467,10976.24,358.36,-624.74,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,29
321.0,7305.954667,7396.04,9207.05,12902.21,3,18,6.0,8.0,48,6,2.333333333,3.222222222,2016,7,14
262.0,34.73833333,34.73833333,5436.47,5436.47,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,19
1068.0,9.24,15.4,36.0,60.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,12,7
148.0,21.7,21.7,213.99,213.99,2,12,6.0,2.0,12,6,9.5,9.5,2016,6,21
422.0,3300.0,3300.0,16212.75,19577.55,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,30
367.0,39.22,39.22,384.75,384.75,4,24,6.0,4.0,24,6,2.666666667,2.666666667,2016,6,15
606.0,3963.812,3995.38,1815.85,2114.01,3,18,6.0,4.0,24,6,5.5,4.333333333,2016,8,7
283.0,725.2,727.0,0.0,0.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,2,7
397.0,38.78,38.78,560.56,560.56,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,14
1187.0,21415.0,26702.96,4992.34,5581.23,4,24,6.0,11.0,66,6,2.4,2.916666667,2016,7,8
1209.0,18438.25833,18584.55,1443.49,2945.74,2,24,12.0,3.0,30,12,0.0,3.0,2016,7,25
424.0,5963.187,6018.87,790.82,3404.69,1,6,6.0,3.0,18,6,0.0,12.5,2016,7,27
1833.0,14677.57367,14771.17,12950.26,12714.64,2,12,6.0,5.0,30,6,2.666666667,9.666666667,2016,7,17
262.0,3412.061333,3430.84,1549.79,1757.43,2,18,12.0,2.0,18,12,53.0,53.0,2016,4,7
1030.0,14110.0,14922.63,8573.7,12390.0,2,24,12.0,3.0,30,12,9.0,6.333333333,2016,6,8
1269.0,55738.74533,56192.09,6989.48,6073.24,6,66,12.0,7.0,72,12,1.2,1.333333333,2016,7,26
166.0,14.616,14.616,2981.72,2981.72,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,28
322.0,26.39466667,26.39466667,96.0,96.0,3,18,6.0,3.0,18,6,6.0,6.0,2016,6,16
1335.0,637.7,639.0,4601.46,4742.14,2,12,6.0,2.0,12,6,20.5,20.5,2016,1,7
1673.0,3283.398,3308.78,588.92,679.08,6,36,6.0,9.0,54,6,3.8,3.444444444,2016,7,7
919.0,104.4,104.4,261.0,261.0,3,18,6.0,3.0,18,6,2.0,2.0,2016,6,30
774.0,26691.64,26696.2,8568.7,8586.7,4,30,12.0,6.0,42,12,6.6,6.833333333,2016,9,7
306.0,19815.812,20039.12,5283.27,7038.81,3,18,6.0,4.0,24,6,1.0,1.0,2016,7,27
466.0,11658.60067,11753.54,7792.31,7498.21,1,12,12.0,1.0,12,12,0.0,0.0,2016,7,17
266.0,44.82433333,44.82433333,1636.76,1636.76,4,24,6.0,4.0,24,6,15.0,15.0,2016,6,29
284.0,2743.952,2783.19,4043.46,4829.4,3,18,6.0,4.0,24,6,1.333333333,1.25,2016,6,7
1021.0,62544.538,62992.01,5236.6,3469.72,8,48,6.0,10.0,60,6,1.285714286,2.0,2016,7,16
706.0,3325.616667,3346.74,11188.91,12549.36,4,24,6.0,4.0,24,6,7.75,7.75,2016,5,7
150.0,52.228,52.228,2145.0,2145.0,8,48,6.0,8.0,48,6,2.857142857,2.857142857,2016,6,22
1126.0,8348.2,8388.5,16474.67,17527.41,2,12,6.0,4.0,24,6,12.5,9.666666667,2016,7,26
873.0,6746.004,6767.34,6182.83,8311.51,1,6,6.0,1.0,6,6,0.0,0.0,2016,12,7
152.0,10900.0,10900.0,5600.03,5600.03,5,30,6.0,5.0,30,6,2.8,2.8,2016,7,26
808.0,500.0,500.0,104.4,391.5,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,22
1033.0,10629.5,10633.0,299.96,299.96,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,21
383.0,34.36,34.36,1064.4,1064.4,2,12,6.0,2.0,12,6,2.0,2.0,2016,12,6
500.0,26.8,26.8,269.28,269.28,1,6,6.0,1.0,6,6,12.0,12.0,2016,6,24
1591.0,12.82666667,12.82666667,458.7,458.7,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,6
339.0,8750.0,9519.0,897.05,1166.75,6,36,6.0,12.0,72,6,5.333333333,6.0,2016,1,8
104.0,7595.0,8494.84,7042.66,10343.52,3,18,6.0,3.0,18,6,4.0,4.0,2016,1,8
486.0,9.744,9.744,238.74,238.74,2,12,6.0,2.0,12,6,2.5,2.5,2016,6,6
1421.0,0.166,0.166,90.48,90.48,1,6,6.0,1.0,6,6,0.0,0.0,2016,2,6
68.0,22.35666667,22.35666667,242.25,242.25,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,19
263.0,1647.0,1647.0,0.0,0.0,1,12,12.0,1.0,12,12,0.0,0.0,2016,8,17
199.0,1.04,1.04,97.96,97.96,1,6,6.0,1.0,6,6,0.0,0.0,2016,2,6
973.0,5076.0,5104.19,12298.68,13455.48,2,12,6.0,6.0,36,6,19.66666667,10.0,2016,9,8
481.0,120.725,120.725,299.09,299.09,4,24,6.0,4.0,24,6,17.0,17.0,2016,11,6
783.0,23882.10633,24049.63,1366.45,1396.37,4,24,6.0,7.0,42,6,2.0,2.0,2016,7,17
359.0,10161.82133,10195.79,15995.71,18337.63,7,42,6.0,9.0,54,6,2.714285714,3.875,2016,7,14
271.0,3660.0,3660.0,400.26,400.26,1,6,6.0,1.0,6,6,0.0,0.0,2016,3,8
1540.0,58.53333333,58.53333333,-122.6,-122.6,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,20
388.0,12125.0,18323.27,1200.78,2028.21,4,24,6.0,5.0,30,6,1.5,1.6,2016,8,13
129.0,33.04,33.04,962.85,962.85,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,21
870.0,16342.064,16528.72,11213.18,13474.94,3,18,6.0,4.0,24,6,2.5,2.333333333,2016,7,19
1717.0,7101.032,7103.87,40.0,150.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,22
775.0,11438.0,17914.57,899.22,5567.04,3,36,12.0,7.0,66,12,2.333333333,3.25,2016,8,13
1326.0,101.9093333,101.9093333,1623.16,1623.16,3,18,6.0,3.0,18,6,3.0,3.0,2016,6,17
1837.0,1354.590667,1368.49,1926.07,1976.69,3,18,6.0,3.0,18,6,2.0,2.0,2016,2,7
117.0,2800.0,2803.0,299.7,8983.59,1,6,6.0,1.0,6,6,0.0,0.0,2016,10,8
1390.0,2385.6,2389.5,223.12,229.12,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,7
226.0,14489.0,17279.46,10689.27,14181.93,1,12,12.0,2.0,18,12,0.0,0.0,2016,11,8
735.0,20.77,20.77,311.88,311.88,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,6
113.0,11845.0,13705.77,899.07,1875.3,5,36,12.0,5.0,36,12,3.5,3.5,2016,12,8
2211.0,0.0,0.0,3182.55,3182.55,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,15
-36.0,32.07533333,32.07533333,1557.53,1557.53,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,13
946.0,9976.147333,9998.03,4232.74,6480.74,4,30,12.0,6.0,42,12,8.75,7.4,2016,7,16
131.0,948.8166667,950.5,1969.49,2015.51,1,6,6.0,2.0,12,6,0.0,1.0,2016,1,7
243.0,4179.0,5130.64,406.84,3232.62,1,12,12.0,2.0,18,12,0.0,0.0,2016,8,8
1127.0,12.97,12.97,60.0,60.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,6,30
590.0,14906.0,22605.74,1043.48,1774.06,2,18,12.0,4.0,30,12,0.0,3.0,2016,8,13
278.0,9000.0,9000.0,1223.47,1724.59,8,48,6.0,8.0,48,6,9.5,9.5,2016,7,24
235.0,3645.123,3704.13,230.74,9.06,1,6,6.0,3.0,18,6,0.0,15.0,2016,7,17
793.0,31690.993,31893.79,14302.47,18936.96,9,66,12.0,23.0,150,12,3.2,2.666666667,2016,7,29
505.0,2970.0,2981.0,199.12,229.12,2,12,6.0,2.0,12,6,0.0,0.0,2016,12,8
187.0,11290.0,11290.0,3043.48,3043.48,2,18,12.0,2.0,18,12,0.0,0.0,2016,8,19
333.0,8928.0,15690.93,2835.3,5390.79,2,12,6.0,3.0,18,6,0.0,19.0,2016,12,8
384.0,511.104,511.104,-1447.82,-1447.82,5,30,6.0,5.0,30,6,1.5,1.5,2016,11,6
1767.0,5.467333333,5.467333333,92.0,92.0,1,6,6.0,1.0,6,6,0.0,0.0,2016,2,6
539.0,10425.0,14410.68,1817.78,5755.38,3,24,12.0,6.0,42,12,6.0,6.166666667,2016,9,8
405.0,2409.18,2431.1,11543.47,14569.39,1,6,6.0,1.0,6,6,0.0,0.0,2016,7,16
502.0,16.479,16.479,53.19,53.19,2,12,6.0,2.0,12,6,0.0,0.0,2016,6,27
316.0,52.54,52.54,599.7,599.7,1,6,6.0,1.0,6,6,12.5,12.5,2016,6,30
